Start Day,End Day,Duration,Phase,R2,RMSE,MAE,MAPE
0,30,30,Gas,-1.1593385,21975.562,16105.952,1.8844533e+12
0,30,30,Oil,-2.7598464,18750.17,16066.033,8.5100036e+11
0,30,30,Water,-1.728462,20260.242,16134.284,4.3477673e+12
0,60,60,Gas,0.023078084,25486.816,17326.158,1.0112061e+14
0,60,60,Oil,-0.18610907,17393.357,12886.045,62.973793
0,60,60,Water,-0.27095222,20455.098,14063.091,5.7538582e+13
0,90,90,Gas,0.15995055,32363.678,23295.629,1.1057234e+14
0,90,90,Oil,0.10796559,20156.98,14982.82,63.243412
0,90,90,Water,0.065411925,22261.97,15383.013,5.5794637e+13
0,180,180,Gas,0.09706855,56989.277,36891.066,97.759605
0,180,180,Oil,-0.061638236,35223.0,25005.277,44.742516
0,180,180,Water,-0.009377837,33943.125,23316.213,1.7142248e+13
0,360,360,Gas,0.1542725,88711.92,55226.617,71.55183
0,360,360,Oil,0.011068523,50965.33,35699.387,39.568794
0,360,360,Water,0.092739046,47554.68,32501.06,62.68081
0,720,720,Gas,0.20338488,132520.17,79106.42,54.72714
0,720,720,Oil,0.036952376,70183.93,48995.184,35.954742
0,720,720,Water,0.13913983,65547.03,45322.695,54.81049
0,1080,1080,Gas,0.38512224,146455.38,83897.625,46.319565
0,1080,1080,Oil,0.18977135,76514.445,52888.86,33.200283
0,1080,1080,Water,0.32140905,70841.445,49064.633,48.458797
30,60,30,Gas,0.5019568,18197.81,13398.362,46.713436
30,60,30,Oil,0.16039181,14633.879,12609.79,44.99646
30,60,30,Water,0.56246996,12001.647,9344.859,37.897305
30,90,60,Gas,0.6142957,21929.7,14054.247,4.7539517e+13
30,90,60,Oil,0.5388068,14493.596,10200.751,31.286526
30,90,60,Water,0.6744391,13139.222,8405.8955,2.1894533e+13
30,180,150,Gas,0.31363064,49687.223,30635.082,57.87078
30,180,150,Oil,0.1215834,32039.693,22911.158,34.22483
30,180,150,Water,0.4090119,25972.535,17358.785,9.198864e+12
30,360,330,Gas,0.26509887,82695.375,49886.543,51.957203
30,360,330,Oil,0.12049961,48062.875,33614.957,33.258118
30,360,330,Water,0.36090344,39912.633,26428.656,46.114643
30,720,690,Gas,0.27135044,126740.99,74640.49,44.651066
30,720,690,Oil,0.10646337,67603.625,47371.336,32.20089
30,720,690,Water,0.3264712,57978.21,39285.316,44.600437
30,1080,1050,Gas,0.43646818,140207.16,78788.77,39.09825
30,1080,1050,Oil,0.24708927,73758.38,50561.56,29.755806
30,1080,1050,Water,0.44197428,64240.73,43685.344,41.219677
60,90,30,Gas,0.8013005,15739.967,11568.872,29.249758
60,90,30,Oil,0.6698183,12263.409,10537.531,27.516006
60,90,30,Water,0.8333658,9400.167,7291.3726,22.76884
60,180,120,Gas,0.45544833,44257.34,28519.025,38.61255
60,180,120,Oil,0.22316289,30130.271,23457.188,33.308453
60,180,120,Water,0.5449457,22790.643,16114.972,4.3861169e+12
60,360,300,Gas,0.37214702,76435.61,46272.85,40.7579
60,360,300,Oil,0.18839252,46170.52,33413.207,30.975801
60,360,300,Water,0.45490915,36860.53,24541.988,36.91384
60,720,660,Gas,0.3353064,121051.03,72267.945,39.724167
60,720,660,Oil,0.15500224,65741.8,46981.906,30.712828
60,720,660,Water,0.38493997,55404.56,37749.668,38.773235
60,1080,1020,Gas,0.48107696,134543.4,76195.71,35.019806
60,1080,1020,Oil,0.30333185,70950.03,49194.21,27.703072
60,1080,1020,Water,0.49033773,61393.812,41649.004,36.825546
90,180,90,Gas,0.54927576,40264.402,29266.88,42.15168
90,180,90,Oil,0.27319598,29143.836,25042.06,39.134727
90,180,90,Water,0.6025059,21300.523,16999.02,34.28698
90,360,270,Gas,0.44802243,71668.36,45010.855,36.197063
90,360,270,Oil,0.246903,44475.125,33605.285,30.72668
90,360,270,Water,0.5148236,34775.79,23854.537,31.760254
90,720,630,Gas,0.38576835,116365.39,70512.67,36.84512
90,720,630,Oil,0.19850707,64027.074,46894.703,30.14342
90,720,630,Water,0.42922467,53372.723,36934.04,35.31311
90,1080,990,Gas,0.51036924,130690.88,74598.984,32.626045
90,1080,990,Oil,0.33760774,69182.664,48541.906,26.688381
90,1080,990,Water,0.52944577,58991.332,40139.85,33.555546
180,360,180,Gas,0.6197972,59480.473,43133.96,38.47713
180,360,180,Oil,0.41400516,39231.832,33911.543,34.632763
180,360,180,Water,0.6217206,30706.723,24327.016,32.675274
180,720,540,Gas,0.5201024,102856.57,67029.43,34.84854
180,720,540,Oil,0.3276711,58641.445,46189.39,30.142132
180,720,540,Water,0.5269408,48589.727,35523.75,30.856243
180,1080,900,Gas,0.61845976,115366.875,68313.7,28.816334
180,1080,900,Oil,0.45453924,62780.01,45599.176,24.592321
180,1080,900,Water,0.6095716,53734.605,37181.465,28.182348
360,720,360,Gas,0.67867947,84164.12,61159.78,35.455997
360,720,360,Oil,0.54245156,48376.266,42390.688,30.392122
360,720,360,Water,0.6657974,40840.555,33377.37,31.096762
360,1080,720,Gas,0.753633,92704.805,58646.137,25.444021
360,1080,720,Oil,0.6487553,50378.414,39322.406,21.700216
360,1080,720,Water,0.72579193,45032.23,32807.832,23.506933
720,1080,360,Gas,0.88077354,64490.734,47150.215,21.740248
720,1080,360,Oil,0.8450182,33464.16,29036.398,17.237545
720,1080,360,Water,0.8621017,31934.701,25518.875,19.299974
