Duration,Start Day,End Day,R2,RMSE,MAE,MAPE
30,30.0,60.0,-0.23537153,15913.651,12561.895,7.870246e+11
60,15.0,75.0,0.23225974,18816.299,12822.698,3.801554e+13
90,45.0,135.0,0.29305097,27581.898,20828.236,2.772783e+13
120,60.0,180.0,0.40785232,32392.75,22697.062,1.462039e+12
150,30.0,180.0,0.28140864,35899.816,23635.008,3.066288e+12
180,90.0,270.0,0.2802626,42595.74,31097.514,2.8570414e+12
270,90.0,360.0,0.40324965,50306.426,34156.895,32.894665
300,60.0,360.0,0.3384829,53155.55,34742.684,36.215847
330,30.0,360.0,0.24883397,56890.293,36643.387,43.776653
360,360.0,720.0,0.525878,54500.273,40228.93,36.55823
540,180.0,720.0,0.45823812,70029.25,49580.855,31.948973
630,90.0,720.0,0.33783337,77921.73,51447.137,34.10055
660,60.0,720.0,0.29174954,80732.46,52333.17,36.403408
690,30.0,720.0,0.23476167,84107.61,53765.715,40.48413
720,180.0,900.0,0.41794288,76061.1,50700.113,36.023922
900,180.0,1080.0,0.5608569,77293.836,50364.78,27.197
990,90.0,1080.0,0.45914093,86288.29,54426.918,30.956657
1020,60.0,1080.0,0.42491552,88962.414,55679.64,33.182808
1050,30.0,1080.0,0.37517723,92735.43,57678.56,36.691242
1080,0.0,1080.0,0.29876754,97937.086,61950.375,42.65955
